nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
4;ŭnpĕrfŏʹrmed;;;;a.;61.0;230;unperformed
4;effrŏʹntĕry;F.;;;n.;59.0;78;effrontery
1;ſlăp;;;;n.;35.0;196;slap
3;ăppraiʹſer;;;;n.;33.0;28;appraiser
3;mŭʹndĭfy;;;;v.;67.0;144;mundify
4;cŏnsĭʹſtŏry;;;;n.;35.0;57;consistory
3;trăʹvĕller;;;;n.;51.0;217;traveller
2;pāʹrĕnt;L.;;;n.;72.0;156;parent
4;mŏrtăʹlĭty;;;;n.;48.0;143;mortality
2;fŭʹrlong;;;;n.;73.0;94;furlong
3;mŏrtgăgeʹe;;;;n.;51.0;143;mortgagee
1;tȯẇn;;;;n.;25.0;216;town
2;deprĕʹſs;L.;;;v.;5.0;68;depress
3;defīʹl_e_ment;;;;n.;35.0;66;defilement
4;dūpliʹcĭty;F.;;;n.;32.0;77;duplicity
1;gleam;;;;n.;64.0;98;gleam
2;_w_răʹpp_e_r;;;;n.;11.0;240;wrapper
1;ĕlf;;;;n.;40.0;79;elf
2;detăʹch;F.;;;v.;66.0;68;detach
2;vĭʹsĭt;L.;;;n.;59.0;224;visit
3;quīʹrĕſt_e_r;L.;;;n.;15.0;175;quirester
5;ŭnpĭʹnĭoned;;;;a.;65.0;230;unpinioned
3;ĭmāʹgĭne;L.;;;v.;23.0;112;imagine
5;inquĭsĭʹtion;;;;n.;11.0;120;inquisition
3;deaʹnĕry;;;;n.;8.0;65;deanery
2;nŭʹmbles;;;;n.;7.0;149;numbles
2;tĕʹrror;;;;n.;33.0;212;terror
4;cŭlmĭʹf_ĕ_rous;L.;;;a.;3.0;63;culmiferous
2;cŏʹnfīnes;F.;;;n.;41.0;56;confines
5;dĕſŏlāʹtion;;;;n.;43.0;68;desolation
2;inſtrŭʹct;L.;;;v.;68.0;120;instruct
3;intĕʹrprĕt;L.;;;v.;15.0;122;interpret
1;frĭth;;;;n.;69.0;93;frith
2;păʹmphlet;;;;n.;57.0;155;pamphlet
5;conſtĕllāʹtĭon;;;;n.;49.0;57;constellation
