nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
2;eʹyrie;;;;n.;37.0;87;eyrie
2;dĭʹrty;;;;a.;67.0;70;dirty
1;mŏth;;;;n.;64.0;143;moth
1;dăm;;;;n.;18.0;64;dam
1;ſhrȯẇd;;;;v.;27.0;194;shrowd
1;ſcreen;;;;n.;39.0;191;screen
5;sŭffĭʹcĭency;;;;n.;37.0;206;sufficiency
3;ſoʹluble;;;;a.;70.0;198;soluble
3;sŭʹſcĭtate;L.;;;v.;32.0;208;suscitate
2;lūʹk_e_wărm;;;;a.;13.0;133;lukewarm
4;ănĭmaʹlcūle;L.;;;n.;45.0;26;animalcule
2;mĕʹdler;;;;n.;39.0;138;medler
3;lŏʹngĭtūde;L.;;;n.;23.0;132;longitude
4;ăʹrc_h_ĭtĕctūre;;;;n.;9.0;29;architecture
1;sīgn;;;;n.;62.0;194;sign
1;ſtĭnt;;;;v.;55.0;203;stint
4;immŏʹdĕrāte;L.;;;a.;8.0;113;immoderate
2;cĕʹnſ_e_r;L.;;;n.;36.0;47;censer
1;mooſe;;;;n.;24.0;143;moose
2;wĭʹcket;;;;n.;42.0;238;wicket
4;sĭgnĭʹfĭcant;L.;;;a.;68.0;194;significant
3;wăʹrrĕner;;;;n.;30.0;236;warrener
4;mĕdĭcăʹſt_e_r;L.;;;n.;29.0;138;medicaster
2;sŭʹck_e_r;;;;n.;24.0;206;sucker
2;mŏʹrtgage;F.;;;n.;50.0;143;mortgage
2;găʹrnet;;;;n.;46.0;96;garnet
3;hāʹrĭot;;;;n.;28.0;104;hariot
1;brawn;;;;n.;45.0;40;brawn
1;cōre;L.;;;n.;46.0;59;core
4;equĭʹvŏcal;L.;;;a.;7.0;83;equivocal
2;māʹnès;;;;n.;41.0;135;manes
2;flĕtcher;;nbSyll>1 et pas d'accent tonic;;n.;6.0;90;fletcher
5;cōĕſſĕʹntĭal;L.;;;a.;63.0;52;coessential
4;rēaʹlĭty;L.;;;n.;14.0;177;reality
5;inĭʹmĭtable;L.;;;a.;38.0;119;inimitable
4;mobĭʹlĭty;F.;;;n.;12.0;142;mobility
3;gĕʹnūĭne;;;;a.;53.0;97;genuine
2;jeoʹfail;;;;n.;37.0;111;jeofail
1;sōre;;;;a.;32.0;199;sore
5;incŏʹmpĕtency;L.;;;n.;71.0;115;incompetency
4;intĕʹmpĕrănce;L.;;;n.;27.0;121;intemperance
3;ænĭʹgma;;;;n.;45.0;22;ænigma
2;vĕʹrvaĭn;;;;n.;22.0;223;vervain
3;ōʹrĭſon;;;;n.;14.0;153;orison
4;prērŏʹgătive;L.;;;n.;32.0;168;prerogative
1;vȳe;;;;v.;27.0;235;vye
3;ŭnmĭʹngled;;;;a.;36.0;230;unmingled
3;elĭʹxĭr;;;;n.;44.0;79;elixir
2;ŭnheaʹrd;;;;a.;22.0;229;unheard
1;rŏt;;;;v.;38.0;186;rot
1;crĭb;;;;n.;63.0;61;crib
3;ăʹrbŏriſt;L.;;;n.;64.0;28;arborist
3;ăttaiʹnder;F.;;;n.;54.0;31;attainder
3;ĭʹmāg_e_ry;;;;n.;19.0;112;imagery
3;măʹrquĭſāte;F.;;;n.;43.0;136;marquisate
3;ovĕrthroʹ_w_;;;;v.;23.0;154;overthrow
1;tŭft;;;;n.;58.0;219;tuft
2;condī_g_n;L.;nbSyll>1 et pas d'accent tonic;;a.;16.0;56;condign
4;ūnĭvŏʹcal;;;;a.;61.0;229;univocal
4;notōʹrĭous;L.;;;a.;56.0;148;notorious
1;daunt;F.;;;v.;52.0;64;daunt
4;fĭxāʹtion;F.;;;n.;25.0;89;fixation
2;caʹrol;F.;;;n.;67.0;45;carol
1;bo_ugh_t;;;;v.;67.0;39;bought
2;eaʹgle;F.;;;n.;4.0;77;eagle
2;thrĭʹfty;;;;a.;71.0;213;thrifty
4;infraʹction;L.;;;n.;67.0;118;infraction
2;căʹmbric;;;;n.;15.0;44;cambric
5;mŭltĭplĭcāʹtor;;;;n.;53.0;144;multiplicator
2;mo_u_ʹrnful;;;;a.;18.0;144;mournful
1;flŭx;L.;;;n.;61.0;90;flux
4;făcĭʹlĭtāte;L.;;;v.;9.0;87;facilitate
2;lŏʹbbè.;;;;n.;56.0;131;lobbe
2;rŭʹſty;;;;a.;36.0;187;rusty
2;chăʹmois;F.;;;n.;16.0;48;chamois
2;lūʹsĕrn;;;;n.;38.0;133;lusern
1;gay;F.;;;a.;2.0;97;gay
5;expĕdĭʹtion;;;;n.;12.0;86;expedition
4;căʹpnŏmăncy;G.;;;n.;6.0;45;capnomancy
3;reʹſthărro_w_;;;;n.;32.0;183;restharrow
5;expĕrĭmĕʹntal;;;;a.;21.0;86;experimental
2;găʹrboil;F.;;;n.;32.0;96;garboil
1;pact;;;;n.;11.0;155;pact
4;ŏccĭdĕʹntal;;;;a.;48.0;150;occidental
4;pēnĭʹnsūlā;L.;;;n.;39.0;159;peninsula
